"Name","Discipline","NOC","Event"
"New Zealand","Cycling Track","New Zealand","Women's Madison"
"New Zealand","Cycling Track","New Zealand","Women's Team Pursuit"
"New Zealand","Football","New Zealand","Men"
"New Zealand","Football","New Zealand","Women"
"New Zealand","Hockey","New Zealand","Men"
"New Zealand","Hockey","New Zealand","Women"
"New Zealand","Rugby Sevens","New Zealand","Men"
"New Zealand","Rugby Sevens","New Zealand","Women"
"New Zealand","Swimming","New Zealand","Women's 4 x 200m Freestyle Relay"
"New Zealand","Triathlon","New Zealand","Mixed Relay"
"Nicolai/Lupo","Beach Volleyball","Italy","Men"
"Nigeria","Athletics","Nigeria","4 x 400m Relay Mixed"
"Nigeria","Athletics","Nigeria","Women's 4 x 100m Relay"
"Nigeria","Basketball","Nigeria","Men"
"Nigeria","Basketball","Nigeria","Women"
"Norway","Handball","Norway","Men"
"Norway","Handball","Norway","Women"
"Pavan/Melissa","Beach Volleyball","Canada","Women"
"Perusic/Schweiner","Beach Volleyball","Czech Republic","Men"
"PISTEJ Lubomir / BALAZOVA Barbora","Table Tennis","Slovakia","Mixed Doubles"
"Plavins/Tocs","Beach Volleyball","Latvia","Men"
"Poland","3x3 Basketball","Poland","Men"
"Poland","Archery","Poland","Mixed Team"
"Poland","Athletics","Poland","4 x 400m Relay Mixed"
"Poland","Athletics","Poland","Men's 4 x 400m Relay"
"Poland","Athletics","Poland","Women's 4 x 100m Relay"
"Poland","Athletics","Poland","Women's 4 x 400m Relay"
"Poland","Cycling Track","Poland","Men's Madison"
"Poland","Cycling Track","Poland","Men's Team Sprint"
"Poland","Cycling Track","Poland","Women's Madison"
"Poland","Cycling Track","Poland","Women's Team Sprint"
"Poland","Fencing","Poland","Women's Épée Team"
"Poland","Swimming","Poland","Men's 4 x 100m Freestyle Relay"
"Poland","Swimming","Poland","Men's 4 x 100m Medley Relay"
"Poland","Swimming","Poland","Men's 4 x 200m Freestyle Relay"
"Poland","Swimming","Poland","Mixed 4 x 100m Medley Relay"
"Poland","Swimming","Poland","Women's 4 x 100m Freestyle Relay"
"Poland","Swimming","Poland","Women's 4 x 200m Freestyle Relay"
"Poland","Table Tennis","Poland","Women's Team"
"Poland","Volleyball","Poland","Men"
"Portugal","Handball","Portugal","Men"
"Portugal","Table Tennis","Portugal","Men's Team"
"Puerto Rico","Basketball","Puerto Rico","Women"
"Rep. of Moldova","Archery","Republic of Moldova","Mixed Team"
"Republic of Korea","Archery","Republic of Korea","Men's Team"
"Republic of Korea","Archery","Republic of Korea","Mixed Team"
"Republic of Korea","Archery","Republic of Korea","Women's Team"
"Republic of Korea","Baseball/Softball","Republic of Korea","Baseball"
"Republic of Korea","Basketball","Republic of Korea","Women"
"Republic of Korea","Fencing","Republic of Korea","Men's Épée Team"
"Republic of Korea","Fencing","Republic of Korea","Men's Sabre Team"
"Republic of Korea","Fencing","Republic of Korea","Women's Épée Team"
"Republic of Korea","Fencing","Republic of Korea","Women's Sabre Team"
"Republic of Korea","Football","Republic of Korea","Men"
"Republic of Korea","Handball","Republic of Korea","Women"
"Republic of Korea","Rugby Sevens","Republic of Korea","Men"
"Republic of Korea","Swimming","Republic of Korea","Men's 4 x 200m Freestyle Relay"
"Republic of Korea","Swimming","Republic of Korea","Women's 4 x 200m Freestyle Relay"
"Republic of Korea","Table Tennis","Republic of Korea","Men's Team"
"Republic of Korea","Table Tennis","Republic of Korea","Women's Team"
"Republic of Korea","Volleyball","Republic of Korea","Women"
"ROC","3x3 Basketball","ROC","Men"
"ROC","3x3 Basketball","ROC","Women"
"ROC","Archery","ROC","Mixed Team"
"ROC","Archery","ROC","Women's Team"
"ROC","Artistic Gymnastics","ROC","Men's Team"
"ROC","Artistic Gymnastics","ROC","Women's Team"
"ROC","Artistic Swimming","ROC","Duet"
"ROC","Artistic Swimming","ROC","Team"
"ROC","Cycling Track","ROC","Men's Team Sprint"
"ROC","Cycling Track","ROC","Women's Madison"
"ROC","Cycling Track","ROC","Women's Team Sprint"
"ROC","Fencing","ROC","Men's Épée Team"
"ROC","Fencing","ROC","Men's Foil Team"
"ROC","Fencing","ROC","Men's Sabre Team"
"ROC","Fencing","ROC","Women's Épée Team"
"ROC","Fencing","ROC","Women's Foil Team"
"ROC","Fencing","ROC","Women's Sabre Team"
"ROC","Handball","ROC","Women"
"ROC","Rhythmic Gymnastics","ROC","Group All-Around"
"ROC","Rugby Sevens","ROC","Women"
"ROC","Swimming","ROC","Men's 4 x 100m Freestyle Relay"
"ROC","Swimming","ROC","Men's 4 x 100m Medley Relay"
"ROC","Swimming","ROC","Men's 4 x 200m Freestyle Relay"
"ROC","Swimming","ROC","Mixed 4 x 100m Medley Relay"
"ROC","Swimming","ROC","Women's 4 x 100m Freestyle Relay"
"ROC","Swimming","ROC","Women's 4 x 100m Medley Relay"
"ROC","Swimming","ROC","Women's 4 x 200m Freestyle Relay"
"ROC","Triathlon","ROC","Mixed Relay"
"ROC","Volleyball","ROC","Men"
"ROC","Volleyball","ROC","Women"
"ROC","Water Polo","ROC","Women"
"Romania","3x3 Basketball","Romania","Women"
"Romania","Football","Romania","Men"
"Romania","Table Tennis","Romania","Women's Team"
"Saudi Arabia","Football","Saudi Arabia","Men"
"Serbia","3x3 Basketball","Serbia","Men"
"Serbia","Basketball","Serbia","Women"
"Serbia","Swimming","Serbia","Men's 4 x 100m Freestyle Relay"
"Serbia","Table Tennis","Serbia","Men's Team"
"Serbia","Volleyball","Serbia","Women"
"Serbia","Water Polo","Serbia","Men"
"Singapore","Table Tennis","Singapore","Women's Team"
"Slovenia","Basketball","Slovenia","Men"
"Slovenia","Table Tennis","Slovenia","Men's Team"
"South Africa","Artistic Swimming","South Africa","Duet"
"South Africa","Athletics","South Africa","Men's 4 x 100m Relay"
"South Africa","Athletics","South Africa","Men's 4 x 400m Relay"
"South Africa","Football","South Africa","Men"
"South Africa","Hockey","South Africa","Men"
"South Africa","Hockey","South Africa","Women"
"South Africa","Rugby Sevens","South Africa","Men"
"South Africa","Swimming","South Africa","Women's 4 x 100m Medley Relay"
"South Africa","Swimming","South Africa","Women's 4 x 200m Freestyle Relay"
"South Africa","Triathlon","South Africa","Mixed Relay"
"South Africa","Water Polo","South Africa","Men"
"South Africa","Water Polo","South Africa","Women"
"Spain","Archery","Spain","Mixed Team"
"Spain","Artistic Gymnastics","Spain","Men's Team"
"Spain","Artistic Gymnastics","Spain","Women's Team"
"Spain","Artistic Swimming","Spain","Duet"
"Spain","Artistic Swimming","Spain","Team"
"Spain","Athletics","Spain","4 x 400m Relay Mixed"
"Spain","Basketball","Spain","Men"
"Spain","Basketball","Spain","Women"
"Spain","Cycling Track","Spain","Men's Madison"
"Spain","Football","Spain","Men"
"Spain","Handball","Spain","Men"
"Spain","Handball","Spain","Women"
"Spain","Hockey","Spain","Men"
"Spain","Hockey","Spain","Women"
"Spain","Swimming","Spain","Women's 4 x 100m Medley Relay"
"Spain","Triathlon","Spain","Mixed Relay"
"Spain","Water Polo","Spain","Men"
"Spain","Water Polo","Spain","Women"
"Stam/Schoon","Beach Volleyball","Netherlands","Women"
"Sude/Borger","Beach Volleyball","Germany","Women"
"Sweden","Football","Sweden","Women"
"Sweden","Handball","Sweden","Men"
"Sweden","Handball","Sweden","Women"
"Sweden","Swimming","Sweden","Women's 4 x 100m Freestyle Relay"
"Sweden","Swimming","Sweden","Women's 4 x 100m Medley Relay"
"Sweden","Table Tennis","Sweden","Men's Team"
"Switzerland","Artistic Gymnastics","Switzerland","Men's Team"
"Switzerland","Athletics","Switzerland","Women's 4 x 100m Relay"
"Switzerland","Athletics","Switzerland","Women's 4 x 400m Relay"
"Switzerland","Cycling Track","Switzerland","Men's Madison"
"Switzerland","Cycling Track","Switzerland","Men's Team Pursuit"
"Switzerland","Fencing","Switzerland","Men's Épée Team"
"Switzerland","Swimming","Switzerland","Men's 4 x 100m Freestyle Relay"
"Switzerland","Swimming","Switzerland","Men's 4 x 200m Freestyle Relay"
"Switzerland","Triathlon","Switzerland","Mixed Relay"
"SZUDI Adam / PERGEL Szandra","Table Tennis","Hungary","Mixed Doubles"
"Thole J./Wickler","Beach Volleyball","Germany","Men"
"Trinidad & Tobago","Athletics","Trinidad and Tobago","Men's 4 x 100m Relay"
"Trinidad & Tobago","Athletics","Trinidad and Tobago","Men's 4 x 400m Relay"
"Trinidad & Tobago","Athletics","Trinidad and Tobago","Women's 4 x 100m Relay"
"Tunisia","Archery","Tunisia","Mixed Team"
"Tunisia","Fencing","Tunisia","Women's Sabre Team"
"Tunisia","Volleyball","Tunisia","Men"
"Turkey","Archery","Turkey","Mixed Team"
"Turkey","Athletics","Turkey","Men's 4 x 100m Relay"
"Turkey","Swimming","Turkey","Women's 4 x 200m Freestyle Relay"
"Turkey","Volleyball","Turkey","Women"
"Ukraine","Archery","Ukraine","Mixed Team"
"Ukraine","Archery","Ukraine","Women's Team"
"Ukraine","Artistic Gymnastics","Ukraine","Men's Team"
"Ukraine","Artistic Swimming","Ukraine","Duet"
"Ukraine","Artistic Swimming","Ukraine","Team"
"Ukraine","Athletics","Ukraine","4 x 400m Relay Mixed"
"Ukraine","Athletics","Ukraine","Women's 4 x 400m Relay"
"Ukraine","Cycling Track","Ukraine","Women's Team Sprint"
"Ukraine","Fencing","Ukraine","Men's Épée Team"
"Ukraine","Rhythmic Gymnastics","Ukraine","Group All-Around"
"United States","3x3 Basketball","United States of America","Women"
"United States","Archery","United States of America","Men's Team"
"United States","Archery","United States of America","Mixed Team"
"United States","Archery","United States of America","Women's Team"
"United States","Artistic Gymnastics","United States of America","Men's Team"
"United States","Artistic Gymnastics","United States of America","Women's Team"
"United States","Artistic Swimming","United States of America","Duet"
"United States","Athletics","United States of America","4 x 400m Relay Mixed"
"United States","Athletics","United States of America","Men's 4 x 100m Relay"
"United States","Athletics","United States of America","Men's 4 x 400m Relay"
"United States","Athletics","United States of America","Women's 4 x 100m Relay"
"United States","Athletics","United States of America","Women's 4 x 400m Relay"
"United States","Baseball/Softball","United States of America","Baseball"
"United States","Baseball/Softball","United States of America","Softball"
"United States","Basketball","United States of America","Men"
"United States","Basketball","United States of America","Women"
"United States","Cycling Track","United States of America","Men's Madison"
"United States","Cycling Track","United States of America","Women's Madison"
"United States","Cycling Track","United States of America","Women's Team Pursuit"
"United States","Fencing","United States of America","Men's Épée Team"
"United States","Fencing","United States of America","Men's Foil Team"
"United States","Fencing","United States of America","Men's Sabre Team"
"United States","Fencing","United States of America","Women's Épée Team"
"United States","Fencing","United States of America","Women's Foil Team"
"United States","Fencing","United States of America","Women's Sabre Team"
"United States","Football","United States of America","Women"
"United States","Rhythmic Gymnastics","United States of America","Group All-Around"
"United States","Rugby Sevens","United States of America","Men"
"United States","Rugby Sevens","United States of America","Women"
"United States","Swimming","United States of America","Men's 4 x 100m Freestyle Relay"
"United States","Swimming","United States of America","Men's 4 x 100m Medley Relay"
"United States","Swimming","United States of America","Men's 4 x 200m Freestyle Relay"
"United States","Swimming","United States of America","Mixed 4 x 100m Medley Relay"
"United States","Swimming","United States of America","Women's 4 x 100m Freestyle Relay"
"United States","Swimming","United States of America","Women's 4 x 100m Medley Relay"
"United States","Swimming","United States of America","Women's 4 x 200m Freestyle Relay"
"United States","Table Tennis","United States of America","Men's Team"
"United States","Table Tennis","United States of America","Women's Team"
"United States","Triathlon","United States of America","Mixed Relay"
"United States","Volleyball","United States of America","Men"
"United States","Volleyball","United States of America","Women"
"United States","Water Polo","United States of America","Men"
"United States","Water Polo","United States of America","Women"
"Uzbekistan","Rhythmic Gymnastics","Uzbekistan","Group All-Around"
"Venezuela","Volleyball","Venezuela","Men"
"Verge-Depre, A./Heidrich","Beach Volleyball","Switzerland","Women"
"Vietnam","Archery","Vietnam","Mixed Team"
"WANG Zhen / ZHANG Mo","Table Tennis","Canada","Mixed Doubles"
"Wang/X.Y.Xia","Beach Volleyball","People's Republic of China","Women"
"WONG Chun Ting / DOO Hoi Kem","Table Tennis","Hong Kong, China","Mixed Doubles"
"XU Xin / LIU Shiwen","Table Tennis","People's Republic of China","Mixed Doubles"
"Xue/Wang X.X.","Beach Volleyball","People's Republic of China","Women"
"Zambia","Football","Zambia","Women"
