Name,NOC,Discipline
Kelderman Wilco,Netherlands,Cycling Road
Keldiyorova Diyora,Uzbekistan,Judo
Keles Ismail,Turkey,Shooting
Keletela Dorian,Refugee Olympic Team,Athletics
Kellnerova Anna,Czech Republic,Equestrian
Kellock Lindsay,Canada,Equestrian
Kellond-Knight Elise,Australia,Football
Kelly Jack,Ireland,Rugby Sevens
Kelly Madeleine,Canada,Athletics
Kelly Mariah,Canada,Athletics
Kelmelis Armandas,Lithuania,Rowing
Kelmendi Majlinda,Kosovo,Judo
Kelter Alev,United States of America,Rugby Sevens
Kelzi Ayman,Syrian Arab Republic,Swimming
Kemperman Robbert,Netherlands,Hockey
Kemppinen Lotta,Finland,Athletics
Kenderesi Tamas,Hungary,Swimming
Kendricks Sam,United States of America,Athletics
Kendziera David,United States of America,Athletics
Keneshbekov Nursultan,Kyrgyzstan,Athletics
Kennedy Alanna,Australia,Football
Kennedy Nina,Australia,Athletics
Kennedy Terry,Ireland,Rugby Sevens
Kenny Darragh,Ireland,Equestrian
Kenny David,Ireland,Athletics
Kenny Jason,Great Britain,Cycling Track
Kenny Laura,Great Britain,Cycling Track
Kenosi Keamogetse Sadie,Botswana,Boxing
Kentchadze Avtandil,Georgia,Wrestling
Keogh Aifric,Ireland,Rowing
Kerby Jordan,New Zealand,Cycling Track
Kerevi Samu,Australia,Rugby Sevens
Kergozou De La Boessiere Nicholas,New Zealand,Cycling Track
Kerley Fred,United States of America,Athletics
Kermond Jamie,Australia,Equestrian
Kerr Deborah,Great Britain,Canoe Sprint
Kerr Hamish,New Zealand,Athletics
Kerr Josh,Great Britain,Athletics
Kerr Sam,Australia,Football
Kerschbaumer Gerhard,Italy,Cycling Mountain Bike
Kershaw Stephanie Anna,Australia,Hockey
Kersten Dieter,Belgium,Athletics
Kesar Viktoriya,Ukraine,Diving
Kesely Ajna,Hungary,Swimming
Keskinen Akseli,Finland,Sailing
Kessie Franck,C“te d'Ivoire,Football
Kessler Markus,Switzerland,Rowing
Kesyl Denys,Ukraine,Swimming
Ketema Lemawork,Austria,Athletics
Ketema Tigist,Ethiopia,Athletics
Keter Benard,United States of America,Athletics
Keuning Maartje,Netherlands,Water Polo
Khachanov Karen,ROC,Tennis
Khadambi Brackcides,Kenya,Beach Volleyball
Khaibullin Rishat,Kazakhstan,Sport Climbing
Khakimova Malika,Uzbekistan,Fencing
Khaladovich Tatsiana,Belarus,Athletics
Khalafalla Ali,Egypt,Swimming
Khalil Safwan,Australia,Taekwondo
Khalmuratov Muradjan,Uzbekistan,Cycling Road
Khamidova Baizat,ROC,Rugby Sevens
Khammo Yakiv,Ukraine,Judo
Khamza Didar,Kazakhstan,Judo
Khan Bisma,Pakistan,Swimming
Khan Mairaj Ahmad,India,Shooting
Khandoshka Vasilina,Belarus,Artistic Swimming
Kharabadze Giorgi,Georgia,Boxing
Khartsyz Yaroslav,Ukraine,Boxing
Khasanova Elvira,ROC,Athletics
Khataev Imam,ROC,Boxing
Khatala Neheng,Lesotho,Athletics
Khattali Ghailene,Tunisia,Canoe Sprint
Khatuntseva Gulnaz,ROC,Cycling Track
Khedmati Najmeh,Islamic Republic of Iran,Shooting
Khelif Imane,Algeria,Boxing
Khelifi Ghofran,Tunisia,Judo
Kherbache Abdelhak,Algeria,Wrestling
Kheris Amira,Algeria,Canoe Sprint
Kheun Bunpichmorakat,Cambodia,Swimming
Khilmanovich Aliaksandra,Belarus,Athletics
Khiyara Lina,Morocco,Swimming
Khmara Igor,Ukraine,Rowing
Khoddam-Hazrati Katrin,Austria,Equestrian
Khodjaev Sukhrob,Uzbekistan,Athletics
Khodos Sergey,ROC,Fencing
Khogali Esraa,Sudan,Rowing
Khokhar Reena,India,Hockey
Kholmurzaev Shakhboz,Uzbekistan,Rowing
Kholomina Svetlana,ROC,Beach Volleyball
Khorava Bachana,Georgia,Athletics
Khoroshavtseva Olga,ROC,Wrestling
Khosa Fikile,Zambia,Football
Khotsianivskyi Oleksandr,Ukraine,Wrestling
Khramiankou Dzianis,Belarus,Wrestling
Khramtcov Maksim,ROC,Taekwondo
Khrapina Violetta,ROC,Fencing
Khubetsov Alan,ROC,Judo
Khudoyarova Roksana,Uzbekistan,Athletics
Khudzenka Volha,Belarus,Canoe Sprint
Khurelkhuu Bolortuya,Mongolia,Wrestling
Khurramov Mukhammadkarim,Uzbekistan,Judo
Khvorikova Anna,ROC,Sailing
Khyzhniak Oleksandr,Ukraine,Boxing
Kibiwot Abraham,Kenya,Athletics
Kichasova-Skoryk Mariia,Ukraine,Canoe Sprint
Kichenok Nadiia,Ukraine,Tennis
Kida Yumi,Japan,Marathon Swimming
Kiefer Lee,United States of America,Fencing
Kieffer Max,Germany,Golf
Kiejko Lynda,Canada,Shooting
Kielbasinska Anna,Poland,Athletics
Kiesenhofer Anna,Austria,Cycling Road
Kifle Aron,Eritrea,Athletics
Kifle Goitom,Eritrea,Athletics
Kigen Benjamin,Kenya,Athletics
Kijima Moeka,Japan,Artistic Swimming
Kiki Didier,Benin,Athletics
Kikuchi Ryosuke,Japan,Baseball/Softball
Kilty Richard,Great Britain,Athletics
Kim Bomi,Republic of Korea,Shooting
Kim Danbi,Republic of Korea,Basketball
Kim Donghyun,Republic of Korea,Football
Kim Dong Seon,Republic of Korea,Equestrian
Kim Gaeun,Republic of Korea,Badminton
Kim Heejin,Republic of Korea,Volleyball
Kim Hyeseong,Republic of Korea,Baseball/Softball
Kim Hyojoo,Republic of Korea,Golf
Kim Hyunsoo,Republic of Korea,Baseball/Softball
Kim Hyunsoo,Republic of Korea,Rugby Sevens
Kim Je Deok,Republic of Korea,Archery
Kim Jung Eun,Republic of Korea,Basketball
Kim Jaewoo,Republic of Korea,Football
Kim Jingyu,Republic of Korea,Football
Kim Jinuk,Republic of Korea,Baseball/Softball
Kim Jinya,Republic of Korea,Football
Kim Jinyi,Republic of Korea,Handball
Kim Jisu,Republic of Korea,Judo
Kim Jiyeon,Republic of Korea,Fencing
Kim Junghwan,Republic of Korea,Fencing
Kim Junho,Republic of Korea,Fencing
Kim Minjong,Republic of Korea,Judo
Kim Minjung,Republic of Korea,Shooting
Kim Minseok,Republic of Korea,Wrestling
Kim Mose,Republic of Korea,Shooting
Kim Nam Uk,Republic of Korea,Rugby Sevens
Kim Su Ji,Republic of Korea,Volleyball
Kim Sangdo,Republic of Korea,Shooting
Kim Sehee,Republic of Korea,Modern Pentathlon
Kim Seongyeon,Republic of Korea,Judo
Kim Seoyeong,Republic of Korea,Swimming
Kim Soyeong,Republic of Korea,Badminton
Kim Suhyeon,Republic of Korea,Weightlifting
Kim Suji,Republic of Korea,Diving
Kim Sunwoo,Republic of Korea,Modern Pentathlon
Kim Si Woo,Republic of Korea,Golf
Kim Sei Young,Republic of Korea,Golf
Kim Won Jin,Republic of Korea,Judo
Kim Woojin,Republic of Korea,Archery
Kim Yeongnam,Republic of Korea,Diving
Kim Yeongtaek,Republic of Korea,Diving
Kim Yunji,Republic of Korea,Handball
Kim Yeon Koung,Republic of Korea,Volleyball
Kimeli Nicholas Kipkorir,Kenya,Athletics
Kimmann Niek,Netherlands,Cycling BMX Racing
Kimura Ayako,Japan,Athletics
Kimura Tomoka,Japan,Athletics
Kina Antoine Sylvain T,Belgium,Hockey
Kinash Kirsten,Australia,Artistic Swimming
Kincaid William,United States of America,Athletics
Kinderis Justinas,Lithuania,Modern Pentathlon
Kindler Antoni Pawel,Canada,Hockey
Kindzerska Iryna,Azerbaijan,Judo
King David,Great Britain,Athletics
King Joel,Australia,Football
King Julia,New Zealand,Hockey
King Lilly,United States of America,Swimming
King Sarah,Switzerland,Athletics
Kingma Maya,Netherlands,Triathlon
Kingue Matam Bernardin,France,Weightlifting
Kinnunen Jarkko,Finland,Athletics
Kinono Phillip,Marshall Islands,Swimming
Kinsella Alice,Great Britain,Artistic Gymnastics
Kinsey Erika,Sweden,Athletics
Kinsinger Etienne,Germany,Wrestling
Kinsler Ian,Israel,Baseball/Softball
Kipchoge Eliud,Kenya,Athletics
Kiplimo Jacob,Uganda,Athletics
Kiprono Sharon Chepchumba,Kenya,Volleyball
Kiprotich Stephen,Uganda,Athletics
Kipruto Amos,Kenya,Athletics
Kipsang Abel,Kenya,Athletics
Kipyego Sally,United States of America,Athletics
Kipyegon Faith,Kenya,Athletics
Kirby Fran,Great Britain,Football
Kirchmann Leah,Canada,Cycling Road
Kiriake Teruko,Japan,Canoe Sprint
Kirishita Yoshiki,Japan,Hockey
Kirkham Shaun,New Zealand,Rowing
Kirkpatrick James Alexander Paget,Canada,Hockey
Kirpichnikova Anastasiia,ROC,Marathon Swimming
Kirpu Erika,Estonia,Fencing
Kirsanova Viktoria,ROC,Cycling Mountain Bike
Kirshe Kristi,United States of America,Rugby Sevens
Kirui Purity,Kenya,Athletics
Kiryakova Stefani,Bulgaria,Rhythmic Gymnastics
Kiryu Yoshihide,Japan,Athletics
Kisfaludy Anett,Hungary,Handball
Kishi Daiki,Japan,Trampoline Gymnastics
Kishimoto Niina,Japan,Triathlon
Kisil Yuri,Canada,Swimming
Kiss Nikoletta,Hungary,Handball
Kissa Stephen,Uganda,Athletics
Kistohurry Samuel,France,Boxing
Kit Kristen,Canada,Rowing
Kita Sumire,Japan,Rhythmic Gymnastics
Kitaguchi Haruka,Japan,Athletics
Kitahara Hiroyuki,Japan,Equestrian
Kitajima Ryuzo,Japan,Equestrian
Kitamura Nanami,Japan,Football
Kitazato Kenji,Japan,Hockey
Kitazono Takeru,Japan,Artistic Gymnastics
Kititharakul Jongkolphan,Thailand,Badminton
Kittel Patrik,Sweden,Equestrian
Kitts Wesley Brian,United States of America,Weightlifting
Kitwanitsathian Chutikan,Thailand,Cycling BMX Racing
Kivioja Kaidi,Estonia,Triathlon
Kivlehan Patrick,United States of America,Baseball/Softball
Kiyani Chandeh Nahid,Islamic Republic of Iran,Taekwondo
Kiyeng Hyvin,Kenya,Athletics
Kiyohara Nayu,Japan,Baseball/Softball
Kiyuna Ryo,Japan,Karate
Kjaer Emil,Denmark,Athletics
Klamer Rachel,Netherlands,Triathlon
Klammert David,Czech Republic,Judo
Klaver Lieke,Netherlands,Athletics
Klecker Joe,United States of America,Athletics
Kleibrink Benjamin,Germany,Fencing
Klein Hanna,Germany,Athletics
Klein Lisa,Germany,Cycling Track
Klein Luis,Germany,Fencing
Klein Lukas,Slovakia,Tennis
Kleshchenko Evgeny,ROC,Cycling BMX Racing
Klevanovich Elizaveta,ROC,Swimming
Klikovac Andrea,Montenegro,Handball
Klimkait Jessica,Canada,Judo
Klimova Diana,ROC,Cycling Track
Klimovich Tatsiana,Belarus,Rowing
Klineman Alix,United States of America,Beach Volleyball
Klingler Petra,Switzerland,Sport Climbing
Klishina Darya,ROC,Athletics
Kliuka Egor,ROC,Volleyball
Kloster Line,Norway,Athletics
Klosterhalfen Konstanze,Germany,Athletics
Kluge Roger,Germany,Cycling Track
Klujber Katrin Gitta,Hungary,Handball
Kluver Ferreira Felipe,Uruguay,Rowing
Klymets Iryna,Ukraine,Athletics
Knab Ruben,Netherlands,Rowing
Knabl Alois,Austria,Triathlon
Knapik-Miazga Renata,Poland,Fencing
Kneisky Morgan,France,Cycling Track
Knewstubb Andrew,New Zealand,Rugby Sevens
Knibb Taylor,United States of America,Triathlon
Knight Jessie,Great Britain,Athletics
Knight Josie,Great Britain,Cycling Track
Knight Justyn,Canada,Athletics
Knight-Wisdom Yona,Jamaica,Diving
Knighton Erriyon,United States of America,Athletics
Knipping Arjan,Netherlands,Swimming
Knoll Anabel,Germany,Triathlon
Knorr Juri,Germany,Handball
Knott Kristina Marie,Philippines,Athletics
Knox Bronwen,Australia,Water Polo
Knox Finlay,Canada,Swimming
Knuppel Artagaveytia Dominique,Uruguay,Sailing
Knystautas Mantas,Lithuania,Wrestling
Ko Lydia,New Zealand,Golf
Ko Youngpyo,Republic of Korea,Baseball/Softball
Koala Marthe,Burkina Faso,Athletics
Kobata Mako,Japan,Volleyball
Kobayashi Kai,Japan,Athletics
Kobayashi Yuka,Japan,Cycling Track
Koblova Valeria,ROC,Wrestling
Kobori Waka,Japan,Swimming
Kobrich Kristel,Chile,Swimming
Kobus-Zawojska Agnieszka,Poland,Rowing
Kobzar Igor,ROC,Volleyball
Koch Marc,Germany,Athletics
Koch Marco,Germany,Swimming
Koch Sophie Ulrike,Germany,Canoe Sprint
Kochanowski Jakub,Poland,Volleyball
Kocher Fabienne,Switzerland,Judo
Kochesok Susana,ROC,Trampoline Gymnastics
Kochhann Raquel,Brazil,Rugby Sevens
Kochman Li,Israel,Judo
Kodama Mei,Japan,Athletics
Kodirova Raykhona,Uzbekistan,Boxing
Kodisang Kobamelo,South Africa,Football
Koech John,Bahrain,Athletics
Koechlin Thomas,Switzerland,Canoe Slalom
Koenders Joanne,Netherlands,Water Polo
Koepfer Dominik,Germany,Tennis
Koga Sarina,Japan,Volleyball
Koga Yuta,Japan,Athletics
Kohlbacher Jannik,Germany,Handball
Kohler Kara,United States of America,Rowing
Kohler Sarah,Germany,Swimming
Kohlhoff Paul,Germany,Sailing
Kohlschreiber Philipp,Germany,Tennis
Koide Mifuyu,Japan,Rugby Sevens
Koide Miku,Japan,Water Polo
Koike Yuki,Japan,Athletics
Koizumi Ibuki,Japan,Sailing
Kojic Frane Tomislav,Croatia,Table Tennis
Kok Tevin Michael,South Africa,Hockey
Kokauri Ushangi,Azerbaijan,Judo
Kokhan Mykhaylo,Ukraine,Athletics
Kokkalanis Byron,Greece,Sailing
Kokumai Sakura,United States of America,Karate
Kolak Sara,Croatia,Athletics
Kolasinac Asmir,Serbia,Athletics
Kolesnichenko Svetlana,ROC,Artistic Swimming
Kolesnikov Kliment,ROC,Swimming
Koliadenko Iryna,Ukraine,Wrestling
Koljonen Kalle,Finland,Badminton
Kolo Muani Randal,France,Football
Kolobova Violetta,ROC,Fencing
Kolodiy Oleg,Ukraine,Diving
Kolodzinski Pawel,Poland,Sailing
Kolomvos Christodoulos,Greece,Water Polo
Kolothum Thodi Irfan,India,Athletics
Kolozsvary Mark,United States of America,Baseball/Softball
Hmangte Chungneijang Mery Kom,India,Boxing
Kominami Takuto,Japan,Athletics
Komissarov Sergei,ROC,Sailing
Konanykhina Anna,ROC,Diving
Kondirolli Olt,Kosovo,Swimming
Kondo Maharu,Japan,Handball
Kondo Yoshida Ai,Japan,Sailing
Kondoh Kensuke,Japan,Baseball/Softball
Kondratev Ilya,ROC,Rowing
Kondricz Kata,Hungary,Fencing
Kong Heeyong,Republic of Korea,Badminton
Kong Man Wai Vivian,"Hong Kong, China",Fencing
Konieczek Alicja,Poland,Athletics
Konieczek Aneta,Poland,Athletics
Koning Josine,Netherlands,Hockey
Konishi Anna,Japan,Swimming
Konnai Mitsunori,Japan,Weightlifting
Kononenko Valeriya,Ukraine,Cycling Road
Konotop Kamila,Ukraine,Weightlifting
Konrad Patrick,Austria,Cycling Road
Kontaveit Anett,Estonia,Tennis
Kontides Pavlos,Cyprus,Sailing
Koolen Sanne Anne Leonie,Netherlands,Hockey
Koolhaas Ilse,Netherlands,Water Polo
Koolhof Wesley,Netherlands,Tennis
Kop Lize,Netherlands,Football
Kopasz Balint,Hungary,Canoe Sprint
Kopecky Lotte,Belgium,Cycling Road
Kopecky Lotte,Belgium,Cycling Track
Kopp Leo,Germany,Athletics
Koppelaar Rutger,Netherlands,Athletics
Koppu Harukiirario,Japan,Water Polo
Kopron Malwina,Poland,Athletics
Kora Salome,Switzerland,Athletics
Korakaki Anna,Greece,Shooting
Korbaj Barrera Nalek,Venezuela,Boxing
Korda Jessica,United States of America,Golf
Korda Nelly,United States of America,Golf
Koretzky Victor,France,Cycling Mountain Bike
Korir Leonard,United States of America,Athletics
Korkmaz Salih,Turkey,Athletics
Korobeynikova Larisa,ROC,Fencing
Koroknai Mate,Hungary,Athletics
Koroleva Irina,ROC,Volleyball
Korostylov Pavlo,Ukraine,Shooting
Korpasi Balint,Hungary,Wrestling
Korrel Michael,Netherlands,Judo
Korstanje Nyls,Netherlands,Swimming
Korte Annimari,Finland,Athletics
Korzeniowski Pawel,Poland,Swimming
Kos Hubert,Hungary,Swimming
Kosetskaya Evgeniya,ROC,Badminton
Kosgei Brigid,Kenya,Athletics
Kosonen Silja,Finland,Athletics
Kostadinova Antoaneta,Bulgaria,Shooting
Kostelecky David,Czech Republic,Shooting
Kosterina Tatyana,ROC,Equestrian
Kostevych Olena,Ukraine,Shooting
Kotsoiev Zelym,Azerbaijan,Judo
Kou Lei,Ukraine,Table Tennis
Kouame Christian,C“te d'Ivoire,Football
Kouao Koffi,C“te d'Ivoire,Football
Kouassi Eboue,C“te d'Ivoire,Football
Koudinov Mikhail,New Zealand,Artistic Gymnastics
Kouma Sebastien,Mali,Swimming
Koumi El Nour Sadam Suliman,Sudan,Athletics
Kounta Muhammad,France,Athletics
Koutsoyanopulos Giulia,Italy,Baseball/Softball
Kovacocy Marian,Slovakia,Shooting
Kovacs Barbara,Hungary,Athletics
Kovacs Joe,United States of America,Athletics
Kovacs Sarolta,Hungary,Modern Pentathlon
Kovacs Zsofia,Hungary,Artistic Gymnastics
Kovacs Zsofia,Hungary,Triathlon
Kovacsics Aniko,Hungary,Handball
Kovalenko Nazar,Ukraine,Athletics
Kovalov Stanislav,Ukraine,Rowing
Kovtun Illia,Ukraine,Artistic Gymnastics
Kowalczuk Aleksandra,Poland,Taekwondo
Kowalczyk Julia,Poland,Judo
Kowalski Jerzy,Poland,Rowing
Kowaluk Dariusz,Poland,Athletics
Kowplos Katarina Rose,Australia,Shooting
Kozak Danuta,Hungary,Canoe Sprint
Kozak Luca,Hungary,Athletics
Kozeniesky Lucas,United States of America,Shooting
Kozik Yulia,ROC,3x3 Basketball
Kozma Dominik,Hungary,Swimming
Kozorog Alja,Slovenia,Canoe Slalom
Kozubek Matej,Czech Republic,Marathon Swimming
Kozuch Margareta,Germany,Beach Volleyball
Kozuka Miki,Japan,Hockey
Kozul Deni,Slovenia,Table Tennis
Kozyrev Sergei,ROC,Wrestling
Krafzik Carolina,Germany,Athletics
Krajewski Julia,Germany,Equestrian
Krajisnik Tina,Serbia,Basketball
Kraljev Milka,Argentina,Rowing
Kramarenko Yana,Israel,Rhythmic Gymnastics
Kramer Andreas,Sweden,Athletics
Kramer Mathilde U.,Denmark,Athletics
Krampl Mia,Slovenia,Sport Climbing
Krasilnikov Viacheslav,ROC,Beach Volleyball
Krasniqi Distria,Kosovo,Judo
Krasteva Stoyka Zhelyazkova,Bulgaria,Boxing
Krause Gesa Felicitas,Germany,Athletics
Krausz Gergely,Hungary,Badminton
Kraut Laura,United States of America,Equestrian
Kravcenoka Anastasija,Latvia,Beach Volleyball
Kravchenko Zoya,Kazakhstan,Shooting
Krawietz Kevin,Germany,Tennis
Kreiss Fanni,Hungary,Fencing
Krejcikova Barbora,Czech Republic,Tennis
Kretz Amelie,Canada,Triathlon
Krimi Khadija,Tunisia,Rowing
Kristiansen Veronica,Norway,Handball
Kritinina Natalya,Uzbekistan,Swimming
Krizsan Xenia,Hungary,Athletics
Kroger Mieke,Germany,Cycling Track
Krommenhoek Guillaume,Netherlands,Rowing
Kromowidjojo Ranomi,Netherlands,Swimming
Kroppen Michelle,Germany,Archery
Krpalek Lukas,Czech Republic,Judo
Krsek Matej,Czech Republic,Athletics
Krssakova Magdalena,Austria,Judo
Krueger Casey,United States of America,Football
Krueger Stephan,Germany,Rowing
Krukowski Marcin,Poland,Athletics
Krumins Edgars,Latvia,3x3 Basketball
Krumins Susan,Netherlands,Athletics
Krunic Aleksandra,Serbia,Tennis
Krupeckaite Simona,Lithuania,Cycling Track
Kruse Max,Germany,Football
Kruth Carina Cassoe,Denmark,Equestrian
Krzewina Jakub,Poland,Athletics
Kubanychbekova Kanykei,Kyrgyzstan,Shooting
Kubiak Michal,Poland,Volleyball
Kubis Lukas,Slovakia,Cycling Road
Kubo Takefusa,Japan,Football
Kubot Lukasz,Poland,Tennis
Kubota Manaka,Japan,Canoe Sprint
Kubova Simona,Czech Republic,Swimming
Kuczera Piotr,Poland,Judo
Kudashev Aleksandr,ROC,Swimming
Kudermetova Veronika,ROC,Tennis
Kudla Denis Maksymilian,Germany,Wrestling
Kudo Kyoko,Japan,Water Polo
Kudus Merhawi,Eritrea,Cycling Road
Kuechler Hannah,Germany,Swimming
Kuehn Julius,Germany,Handball
Kueng Stefan,Switzerland,Cycling Road
Kuf Jan,Czech Republic,Modern Pentathlon
Kuipers Natalia Jean,"Virgin Islands, US",Swimming
Kuka Loriana,Kosovo,Judo
Kukina Marina,ROC,Rugby Sevens
Kuklinovska Liudmyla,Ukraine,Canoe Sprint
Kukolj Aleksandar,Serbia,Judo
Kukrle Michael,Czech Republic,Cycling Road
Kukuk Christian,Germany,Equestrian
Kukushkin Mikhail,Kazakhstan,Tennis
Kulagina Daria,Belarus,Artistic Swimming
Kulikov Alexandr,Kazakhstan,Canoe Slalom
Kulish Serhiy,Ukraine,Shooting
Kullberg Emma,Sweden,Football
Kullmann Leonie Marlen,Germany,Swimming
Kumagai Saki,Japan,Football
Kumahara Caroline,Brazil,Table Tennis
Kumanan Nethra,India,Sailing
Kumar Ashish,India,Boxing
Kumar Deepak,India,Shooting
Kumar Nikhil,United States of America,Table Tennis
Kumar Sandeep,India,Athletics
Kumar Surender,India,Hockey
Kumar Varun,India,Hockey
Kumari Deepika,India,Archery
Kunaiyi-Akpanah Pallas,Nigeria,Basketball
Kundananji Racheal,Zambia,Football
Kundu Agripina Khayesi,Kenya,Volleyball
Kunkabayev Kamshybek,Kazakhstan,Boxing
Kunz Annie,United States of America,Athletics
Kunzang Lenchu,Bhutan,Shooting
Kunze Kahena,Brazil,Sailing
Kuo Hsing-Chun,Chinese Taipei,Weightlifting
Kuosmanen Matti Elias,Finland,Wrestling
Kurachkina Iryna,Belarus,Wrestling
Kurbanov Ruslan,Kazakhstan,Fencing
Kurbanov Ruslan,Uzbekistan,Athletics
Kurek Bartosz,Poland,Volleyball
Kuribayashi Ryoji,Japan,Baseball/Softball
Kurihara Ryoya,Japan,Baseball/Softball
Kurikova Petra,Czech Republic,Triathlon
Kurochkina Ekaterina,ROC,Rowing
Kurogo Ai,Japan,Volleyball
Kurokawa Kazuki,Japan,Athletics
Kurtbay Sinem,Finland,Sailing
Kus Nafia,Turkey,Taekwondo
Kusch Marius,Germany,Swimming
Kusterer Sabine Beate,Germany,Weightlifting
Kuuba Kristin,Estonia,Badminton
Kuusela Toni,Finland,Athletics
Kuworge Enzo Kofi,Netherlands,Weightlifting
Kuzakhmetov Artem,ROC,Canoe Sprint
Kuziutina Natalia,ROC,Judo
Kuznetsov Evgenii,ROC,Diving
Kuznetsova Polina,ROC,Handball
Kvesic Ivan,Croatia,Karate
Kvitova Petra,Czech Republic,Tennis
Kwak Junghye,Republic of Korea,Shooting
Kwasna Magdalena,Poland,Sailing
Kwayie Lisa Marie,Germany,Athletics
Kweon Youngjun,Republic of Korea,Fencing
Kwiatkowski Michal,Poland,Cycling Road
Kwon Changhoon,Republic of Korea,Football
Kwon Eunji,Republic of Korea,Shooting
Kwon Halim,Republic of Korea,Diving
Kwon Soonwoo,Republic of Korea,Tennis
Kylypko Maryna,Ukraine,Athletics
Kynigakis Athanasios,Greece,Marathon Swimming
Kyogoku Okina,Japan,Artistic Swimming
Kyriakopoulou Nikoleta,Greece,Athletics
Kyridou Anneta,Greece,Rowing
Kyridou Maria,Greece,Rowing
La Cruz Julio,Cuba,Boxing
La Roche Shae,Canada,Water Polo
Laaraj Nada,Morocco,Taekwondo
Labbe Stephanie,Canada,Football
Labous Juliette,France,Cycling Road
Labrousse Lea,France,Trampoline Gymnastics
Lacatena Alexia,Italy,Baseball/Softball
Lack Rachel,Australia,Baseball/Softball
Lacoste Sokhna,France,Athletics
Lacrabere Alexandra,France,Handball
Lacruz Enrico,Netherlands,Boxing
Lafond Thea,Dominica,Athletics
Lafont Marie-Zelia,France,Canoe Slalom
Lagab Azzedine,Algeria,Cycling Road
Lagan Alexis,United States of America,Shooting
Lage Andres,Venezuela,Sailing
Lagergren Albin,Sweden,Handball
Lagerquist Anna,Sweden,Handball
Laghouag Karim Florent,France,Equestrian
Lahiri Anirban,India,Golf
Lahoulou Abdelmalik,Algeria,Athletics
Lahti Sarah,Sweden,Athletics
Lainez Diego,Mexico,Football
Laitarovsky Michael,Israel,Swimming
Lake Morgan,Great Britain,Athletics
Lakind Jared,Israel,Baseball/Softball
Lakra Birendra,India,Hockey
Lal Jat Arjun,India,Rowing
Lalonde Genevieve,Canada,Athletics
Lalova-Collio Ivet,Bulgaria,Athletics
Lalremsiami,India,Hockey
Lam Siu Hang,"Hong Kong, China",Table Tennis
Lam Timothy,United States of America,Badminton
Lambe Eimear,Ireland,Rowing
Lambriex Bart,Netherlands,Sailing
Lamdassem Ayad,Spain,Athletics
Lamolle Mathilde,France,Shooting
Lamon Francesco,Italy,Cycling Track
Lamote Renelle,France,Athletics
Lamoureux Jay,Canada,Cycling Track
Lampela Elina,Finland,Athletics
Lamsfuss Mark,Germany,Badminton
Lan Minghao,People's Republic of China,Fencing
Landale Jock,Australia,Basketball
Landazuri Marizol,Ecuador,Athletics
Landin Magnus,Denmark,Handball
Landin Niklas,Denmark,Handball
Landolsi Nihel,Tunisia,Judo
Landoulsi Nouha,Tunisia,Weightlifting
Landry Ghislaine,Canada,Rugby Sevens
Lane Ben,Great Britain,Badminton
Lane Sam,New Zealand,Hockey
Lang Salome,Switzerland,Athletics
Langaro Haniel,Brazil,Handball
Langasque Romain,France,Golf
Langat Weldon,Kenya,Athletics
Lange Santiago Raul,Argentina,Sailing
Lange Tobias,Germany,Athletics
Langehanenberg Helen,Germany,Equestrian
Langerfeld Kai,Canada,Rowing
Langlois Andreanne,Canada,Canoe Sprint
Langrehr Rebecca,Germany,Modern Pentathlon
Lanir Inbar,Israel,Judo
Lansiquot Imani,Great Britain,Athletics
Lanzi Asia,Italy,Skateboarding
Lappa Natasa,Cyprus,Sailing
Lappage Danielle Suzanne,Canada,Wrestling
Laprovittola Nicolas,Argentina,Basketball
Lara Che,Trinidad and Tobago,Athletics
Lara Francisca,Chile,Football
Lara Krystal,Dominican Republic,Swimming
Lararaudeuse Jeremie,Mauritius,Athletics
Larcheron Madeleine,France,Skateboarding
Larin Vladislav,ROC,Taekwondo
Larkin Mitch,Australia,Swimming
Larocca Jose Maria Jr,Argentina,Equestrian
Larroque Koumba,France,Wrestling
Larsen Henrik,Norway,Shooting
Larsen Niklas,Denmark,Cycling Track
Larson Jordan,United States of America,Volleyball
Larumbe Gonfaus Marc,Spain,Water Polo
Lasa Emiliano,Uruguay,Athletics
Lasitskene Mariya,ROC,Athletics
Lassource Coralie,France,Handball
Lattimer Maxwell,Canada,Rowing
Latypov Danis,Bahrain,Boxing
Lau Mo Sheung Grace,"Hong Kong, China",Karate
Laugher Jack,Great Britain,Diving
Launay Antoine,Portugal,Canoe Slalom
Laurenson Cameron Bain,South Africa,Water Polo
Laurie Katie,Australia,Equestrian
Laurin Althea,France,Taekwondo
Laus Camille,Belgium,Athletics
Lavarnway Ryan,Israel,Baseball/Softball
Lavelle Rose,United States of America,Football
Lavery Nicholas,Australia,Rowing
Lavey Tess,Australia,Basketball
Lavia Daniele,Italy,Volleyball
Lavicky Karel,Czech Republic,Sailing
Lavillenie Renaud,France,Athletics
Lavillenie Valentin,France,Athletics
Lavin Sarah,Ireland,Athletics
Lavreysen Harrie,Netherlands,Cycling Track
Lavrova Anastassiya,Kazakhstan,Table Tennis
Lawler Marcus,Ireland,Athletics
Lawrence Ashley,Canada,Football
Lawrence Shadae,Jamaica,Athletics
Lawrie Danielle,Canada,Baseball/Softball
Lawson Nathan,Australia,Rugby Sevens
Lawton Amy Rose,Australia,Hockey
Lay Jian Fang,Australia,Table Tennis
